ID,file_name,impd_filename,in_file,contr_year,data_source,site_name,site_code,contributor,Longitude,Latitude,first_year,last_year,first_scar,last_scar,n_trees,tree_species,area_sampled_ha,ref_ID
Allen_AM2,AM2.FHX,usba3001.fhx,TRUE,2019,NAFSS,Apache Mesa Central,AM2,Allen_CD,-106.3847017,35.82331129,1561,1987,1585,1908,6,"PIPO, PISF, PSME",9,Allen_1989_Diss
Allen_AM3,AM3.FHX,usba3001.fhx,TRUE,2019,NAFSS,Apache Mesa West,AM3,Allen_CD,-106.3972896,35.82256454,1459,1987,1480,1893,6,PIPO,4.5,Allen_1989_Diss
Allen_BAL,usbal001.fhx,usbal001.fhx,TRUE,2019,IMPD,Cerro Balitas,BAL,Allen_CD,-106.3923959,35.7290906,1450,1995,1532,1940,32,"PIPO, PSME",26,Morino_1998_Report
Allen_BAN,BAN5.FHX,usba5001.fhx,TRUE,2019,NAFSS,Bandelier group 5,BAN,Allen_CD,-106.3356599,35.81829784,1637,1977,1725,1893,10,PIPO,40,Allen_1989_Diss
Allen_BHQ,BHQ.fhx,,TRUE,2020,NAFSS,Bandelier headquarters,BHQ,Allen_CD,-106.2726975,35.77892992,1712,1925,1776,1902,2,PIPO,1,Unpublished
Allen_BJC,BJC.FHX,usba1001.fhx,TRUE,2019,NAFSS,Bandelier Juniper Campground,BJC,Allen_CD,-106.2788807,35.7946388,1612,1987,1650,1957,8,PIPO,43,Allen_1989_Diss
Allen_CAN,CANALL.FHX,,TRUE,2019,NAFSS,Canada Bonita North,CAN,Allen_CD,-106.3873565,35.91432575,1655,1996,1685,1914,32,"PSME, ABCO, PISF",4.5,Touchan_1996_GTR
Allen_CAS,uscas001.fhx,uscas001.fhx,TRUE,2019,IMPD,Canada Bonita South,CAS,Allen_CD,-106.3749715,35.9069176,1378,1993,1480,1966,31,"PIPO, PISF",4.5,Morino_1998_Report
Allen_CDPH,CDPH.fhx,,TRUE,2020,NAFSS,Cañada del Potrero-Mesa Prieta ,CDPH,Allen_CD,-106.6179626,36.25364051,1455,1997,1498,1879,8,"PIPO, PSME",1,Unpublished
Allen_CHB,CHB.FHX,,TRUE,2019,NAFSS,Chihuahueños Bog,CHB,Allen_CD,-106.5072017,36.04698722,1401,2002,1454,1902,13,"PIPO, PISF",5,Allen_2008_IJWF
Allen_CME,uscme001.fhx,uscme001.fhx,TRUE,2019,IMPD,Camp May East,CME,Allen_CD,-106.3811914,35.89953629,1660,1993,1709,1880,6,PIPO,0.5,Touchan_1996_GTR
Allen_CMN,uscmn001.fhx,uscmn001.fhx,TRUE,2019,IMPD,Camp May North,CMN,Allen_CD,-106.3963885,35.90541962,1683,1993,1729,1880,20,"PSME, ABCO",3,"Touchan_1996_GTR, Morino_1998_Report"
Allen_CMN2,Cmn2.fhx,,TRUE,2019,NAFSS,Camp May North2,CMN2,Allen_CD,-106.3930456,35.90540328,1563,1996,1716,1910,10,"PSME, ABCO",7,Touchan_1996_GTR
Allen_CON,CON2.FHX,,TRUE,2009,FACS,Continental Divide,CON,Allen_CD,-106.958,36.312,1589,1970,1601,1869,7,PIPO,2.5,"Touchan_1996_GTR, Morino_1998_Report"
Allen_CPE,CPE.FHX,uscpe001.fhx,TRUE,2019,IMPD,Cerro Pedernal SFNF,CPE,"Allen_CD, Touchan_R",-106.38,36.17,1380,1993,1522,1959,26,PIPO,15.5,Touchan_1996_GTR
Allen_CPM,uscpm001.fhx,uscpm001.fhx,TRUE,2019,IMPD,Capulin Canyon Middle,CPM,Allen_CD,-106.3531183,35.7756744,1554,1990,1624,1955,15,PIPO,25,Touchan_1996_GTR
Allen_CPU,uscpu001.fhx,uscpu001.fhx,TRUE,2019,IMPD,Capulin Canyon Upper,CPU,Allen_CD,-106.4128931,35.79103769,1573,1942,1637,1893,8,PIPO,1.5,Touchan_IMPD_CPU
Allen_CSE,CSE.FHX,usba4001.fhx,TRUE,2019,NAFSS,Cerro Grande Southeast,CSE,Allen_CD,-106.405343,35.85082397,1579,1987,1622,1899,4,"PIPO, PSME",2,Allen_1989_Diss
Allen_CSW,CSW.FHX,usba4001.fhx,TRUE,2019,NAFSS,Cerro Grande Southwest,CSW,Allen_CD,-106.4176044,35.85628443,1587,1988,1631,1899,6,PIPO,8,Allen_1989_Diss
Allen_ESC,ESC.FHX,usba3001.fhx,TRUE,2019,NAFSS,Frijoles Escarpment,ESC,Allen_CD,-106.3649913,35.83013746,1557,1994,1599,1899,11,"PIPO, PSME",5.5,Allen_1989_Diss
Allen_FR1,FR1.FHX,usba2001.fhx,TRUE,2019,NAFSS,Frijoles Riparian 1,FR1,Allen_CD,-106.3717688,35.81689337,1642,1987,1679,1893,3,PIPO,0.5,Allen_1989_Diss
Allen_FR2,FR2.FHX,usba2001.fhx,TRUE,2019,NAFSS,Frijoles Riparian 2,FR2,Allen_CD,-106.3969512,35.81377845,1595,1987,1604,1943,3,PIPO,1.5,Allen_1989_Diss
Allen_FR3,FR3.FHX,usba2001.fhx,TRUE,2019,NAFSS,Frijoles Riparian 3,FR3,Allen_CD,-106.407784,35.81882688,1580,1987,1600,1899,5,PIPO,1,Allen_1989_Diss
Allen_FRM1,FRM1.FHX,,TRUE,2019,NAFSS,Frijolito Mesa Upper,FRM1,Allen_CD,-106.2714576,35.77050584,1611,1996,1638,1902,18,"PIPO, PIED",8.5,Unpublished
Allen_FRM2,FRM2.FHX,,TRUE,2019,NAFSS,Frijolito Mesa Lower,FRM2,Allen_CD,-106.2716709,35.76399398,1592,1996,1605,1892,8,"PIPO, PIED",5,Unpublished
Allen_FWH,FWH.fhx,,TRUE,2019,NAFSS,Frijolito Watershed Area,FWH,Allen_CD,-106.2771521,35.7773492,1584,1958,1664,1867,17,"PIPO, PIED",18,Unpublished
Allen_FWH1,FWH1.fhx,,TRUE,2020,NAFSS,Frijolito Watershed Interior,FWH1,"Allen_CD, Brown_PM",-106.2778926,35.77842375,1610,1955,1664,1869,30,"PIPO, PIED",1,Brown_2011_report
Allen_LGU,uslgu001.fhx,uslgu001.fhx,TRUE,2004,IMPD,Laguna Gurule,LGU,Allen_CD,-106.9449387,36.3389893,1387,1955,1613,1899,10,PIPO,13.5,Touchan_1996_GTR
Allen_LJA,LJA.FHX,,TRUE,2020,NAFSS,Laguna Jacquez,LJA,Allen_CD,-106.976,36.304,1472,1979,1613,1895,7,"PIPO, JUSC",3.5,Touchan_1996_GTR
Allen_LOG,uslog001.fhx,uslog001.fhx,TRUE,2019,IMPD,Los Griegos,LOG,Allen_CD,-106.541148,35.79854921,1534,1991,1573,1925,13,"PIPO, PSME, ABCO",1.5,Touchan_1996_GTR
Allen_MCN01,usmcn001.fhx,usmcn001.fhx,TRUE,2019,IMPD,Monument Canyon Natural Area,MCN_01,Allen_CD,-106.6241974,35.80669416,1408,1972,1493,1909,30,PIPO,115,Touchan_1996_GTR
Allen_MEAL,MEAL.FHX,,TRUE,2020,NAFSS,Mesa Alta,MEAL,Allen_CD,-106.6289523,36.24560919,1525,1870,1601,1823,2,PIPO,1,Unpublished
Allen_MEPS,MEPS.fhx,,TRUE,2020,NAFSS,Mesa Prieta South,MEPS,Allen_CD,-106.6200199,36.25168762,1537,1997,1560,1879,8,PIPO,1,Unpublished
Allen_PIPE,PIPE.FHX,,TRUE,2019,NAFSS,Pipeline Road SFNF,PIPE,Allen_CD,-106.3381677,35.89328935,1598,1997,1654,1929,27,PIPO,9,Unpublished
Allen_PME,uspme001.fhx,uspme001.fhx,TRUE,2019,IMPD,Pajarito Mountain North East,PME,Allen_CD,-106.3802754,35.88837887,1702,1993,1773,1962,16,"PSME, ABCO, PPTR",45.5,Touchan_1996_GTR
Allen_PMR,uspmr001.fhx,uspmr001.fhx,TRUE,2019,IMPD,Pajarito Mountain Ridge,PMR,Allen_CD,-106.3799262,35.8837174,1626,1993,1632,1912,23,"PIPO, PSME, PISF",5.5,Touchan_1996_GTR
Allen_PMW,uspmw001.fhx,uspmw001.fhx,TRUE,2019,IMPD,Pajarito Mountain North West,PMW,Allen_CD,-106.4048028,35.8970088,1617,1993,1669,1925,10,"PSME, PCEN",1,Touchan_1996_GTR
Allen_PNA,PNA.FHX,,TRUE,2020,NAFSS,Puerto Nambe,PNA,Allen_CD,-105.749315,35.82085503,1820,1995,1880,1880,3,PIEN,1,Unpublished
Allen_POL,POL.FHX,,TRUE,2019,NAFSS,Polvadera Mesa SFNF,POL,Allen_CD,-106.4661768,36.09587644,1407,1996,1537,1879,2,PISF,1,Unpublished
Allen_ROM,usrom001.fhx,usrom001.fhx,TRUE,2004,IMPD,Round Mountain,ROM,Allen_CD,-105.642,35.87217,1000,1993,1230,1948,19,PIAR,,Touchan_IMPD_ROM
Allen_SAW,SAW.FHX,usba4001.fhx,TRUE,2019,NAFSS,Sawyer Mesa,SAW,Allen_CD,-106.4339204,35.82818833,1654,1987,1725,1873,3,PIPO,0.5,Allen_1989_Diss
Allen_SECO,SECO.fhx,,TRUE,2019,NAFSS,La Mesita del Canyoncito Seco SFNF,SECO,Allen_CD,-106.4771072,36.09575117,1422,1997,1480,1922,15,"PIPO, PISF",1.5,Unpublished
Allen_UEF,UEF.fhx,,TRUE,2019,NAFSS,Upper East Fork of Frijoles,UEF,Allen_CD,-106.4081436,35.84419644,1530,2000,1542,1899,9,PIPO,2,Allen_1989_Diss
Allen_UWF,UWF.FHX,"ubsa2001.fhx, usba4001.fhx",TRUE,2019,NAFSS,Upper West Fork of Frijoles,UWF,Allen_CD,-106.4248059,35.83851415,1539,1987,1562,1861,5,"PIPO, PISF",11,Allen_1989_Diss
Allen_VIL,VIL.fhx,,TRUE,2019,NAFSS,Los Alamos Townsite,VIL,Allen_CD,-106.3121786,35.89164491,1410,1998,1538,1883,11,"PIPO, PISF",3.5,Unpublished
Aoki__BPR,Aoki_BPRfire.fhx,,TRUE,2009,FACS,Banded Peak Ranch,BPR,Aoki_C,-106.7,37.116667,1613,2005,1633,1989,21,,,Aoki_2010_Thesis
Araba_LCF,uslcf001.fhx,uslcf001.fhx,TRUE,2012,IMPD,Lava Cast Forest,LCF,Arabas,-121.291667,43.791667,1170,2001,1193,1981,88,PIPO,1100,Arabas_2006_CJFR
Arizp_BAC,BAC.fhx,,TRUE,2020,NAFSS,Bacadehuachi,BAC,Arizpe_AH,-108.98955,29.8356138,1702,1995,1760,1989,16,PIDU,,Arizpe_2020_IJWF
Arizp_CAM,,,FALSE,2020,NAFSS,CAM,CAM,Arizpe_AH,-108.75,31.31,1904,1994,1929,1974,7,,,Arizpe_2020_IJWF
Arizp_DGC,DGC.fhx,,TRUE,2020,NAFSS,Douglas Canyon,DGC,Arizpe_AH,-110.325,32.6264867,1686,2010,1803,1897,3,"PIEN, PICH",,Arizpe_2020_IJWF
Arizp_ESP,,,FALSE,2020,NAFSS,ESP,ESP,Arizpe_AH,-108.75,31.31,1783,1994,1794,1974,4,,,Arizpe_2020_IJWF
Arizp_FEA,,,FALSE,2020,NAFSS,FEA,FEA,Arizpe_AH,-108.75,31.31,1836,1994,1877,1978,12,,,Arizpe_2020_IJWF
Arizp_KDS,KDS.fhx,,TRUE,2020,NAFSS,Kennedy Saddle,KDS,Arizpe_AH,-110.31146,32.6392578,1605,2010,1748,1974,11,"PIEN, PICH",,Arizpe_2020_IJWF
Arizp_RSC,RSC.fhx,,TRUE,2020,NAFSS,Rattlesnake Canyon,RSC,Arizpe_AH,-110.35931,32.6575562,1659,2010,1769,1917,4,"PIEN, PICH",,Arizpe_2020_IJWF
Arse_1,JBR_N_1.fhx,carbb001-pnas2014-09316dataset-s1.csv,TRUE,2014,IMPD,JamesBayRoad_North,Q1_N,Arseneault,-77.741,53.70192,1740,2007,1796,1941,8,"PIBN, PCMA",200,Heon_2014_PNAS
Arse_10,JBR_N_10.fhx,carbb001-pnas2014-09316dataset-s1.csv,TRUE,2014,IMPD,JamesBayRoad_North,Q10_N,Arseneault,-77.6665,53.54243,1611,2007,1882,1941,9,"PIBN, PCMA, LALA",200,Heon_2014_PNAS
Arse_11,JBR_N_11.fhx,carbb001-pnas2014-09316dataset-s1.csv,TRUE,2014,IMPD,JamesBayRoad_North,Q11_N,Arseneault,-77.6561,53.53506,1647,2007,1878,1941,27,"PIBN, PCMA",200,Heon_2014_PNAS
Arse_12,JBR_N_12.fhx,carbb001-pnas2014-09316dataset-s1.csv,TRUE,2014,IMPD,JamesBayRoad_North,Q12_N,Arseneault,-77.6411,53.52009,1638,2007,1834,1922,8,"PIBN, PCMA",200,Heon_2014_PNAS
Arse_13,JBR_N_13.fhx,carbb001-pnas2014-09316dataset-s1.csv,TRUE,2014,IMPD,JamesBayRoad_North,Q13_N,Arseneault,-77.621,53.49531,1878,2007,1921,1941,5,PIBN,200,Heon_2014_PNAS
Arse_14,JBR_N_14.fhx,carbb001-pnas2014-09316dataset-s1.csv,TRUE,2014,IMPD,JamesBayRoad_North,Q14_N,Arseneault,-77.6175,53.49048,1861,2007,1922,1922,1,PIBN,200,Heon_2014_PNAS
Arse_15,JBR_N_15.fhx,carbb001-pnas2014-09316dataset-s1.csv,TRUE,2014,IMPD,JamesBayRoad_North,Q15_N,Arseneault,-77.5874,53.46675,1856,2007,1921,1989,9,PIBN,200,Heon_2014_PNAS
Arse_16,JBR_N_16.fhx,carbb001-pnas2014-09316dataset-s1.csv,TRUE,2014,IMPD,JamesBayRoad_North,Q16_N,Arseneault,-77.5876,53.4502,1627,2007,1922,1989,14,"PIBN, PCMA, LALA",200,Heon_2014_PNAS
Arse_17,JBR_N_17.fhx,carbb001-pnas2014-09316dataset-s1.csv,TRUE,2014,IMPD,JamesBayRoad_North,Q17_N,Arseneault,-77.5931,53.43302,1672,2005,1733,1989,10,PIBN,200,Heon_2014_PNAS
Arse_18,JBR_N_18.fhx,carbb001-pnas2014-09316dataset-s1.csv,TRUE,2014,IMPD,JamesBayRoad_North,Q18_N,Arseneault,-77.5881,53.41811,1740,2007,1922,1998,7,"PIBN, PCMA, LALA",200,Heon_2014_PNAS
Arse_19,JBR_N_19.fhx,carbb001-pnas2014-09316dataset-s1.csv,TRUE,2014,IMPD,JamesBayRoad_North,Q19_N,Arseneault,-77.5608,53.39757,1833,2007,1922,1999,6,"PIBN, PCMA",200,Heon_2014_PNAS
Arse_2,JBR_N_2.fhx,carbb001-pnas2014-09316dataset-s1.csv,TRUE,2014,IMPD,JamesBayRoad_North,Q2_N,Arseneault,-77.7357,53.68481,1747,2006,1922,1923,6,"PIBN, PCMA, LALA",200,Heon_2014_PNAS
Arse_20,JBR_N_20.fhx,carbb001-pnas2014-09316dataset-s1.csv,TRUE,2014,IMPD,JamesBayRoad_North,Q20_N,Arseneault,-77.5398,53.39029,1863,2007,1887,1922,3,"PIBN, PCMA",200,Heon_2014_PNAS
Arse_21,JBR_N_21.fhx,carbb001-pnas2014-09316dataset-s1.csv,TRUE,2014,IMPD,JamesBayRoad_North,Q21_N,Arseneault,-77.5241,53.37198,1799,2007,1847,1990,11,"PIBN, PCMA",200,Heon_2014_PNAS
Arse_22,JBR_N_22.fhx,carbb001-pnas2014-09316dataset-s1.csv,TRUE,2014,IMPD,JamesBayRoad_North,Q22_N,Arseneault,-77.5041,53.36085,1795,2007,1941,1990,7,"PIBN, PCMA",200,Heon_2014_PNAS
Arse_23,JBR_N_23.fhx,carbb001-pnas2014-09316dataset-s1.csv,TRUE,2014,IMPD,JamesBayRoad_North,Q23_N,Arseneault,-77.4814,53.34694,1645,2007,1941,1942,6,"PIBN, PCMA, LALA",200,Heon_2014_PNAS
Arse_24,JBR_N_24.fhx,carbb001-pnas2014-09316dataset-s1.csv,TRUE,2014,IMPD,JamesBayRoad_North,Q24_N,Arseneault,-77.4625,53.3383,1696,2007,1752,1941,4,"PIBN, PCMA",200,Heon_2014_PNAS
Arse_25,JBR_N_25.fhx,carbb001-pnas2014-09316dataset-s1.csv,TRUE,2014,IMPD,JamesBayRoad_North,Q25_N,Arseneault,-77.4491,53.32669,1696,2007,1941,1941,3,"PIBN, PCMA, LALA",200,Heon_2014_PNAS
Arse_26,JBR_N_26.fhx,carbb001-pnas2014-09316dataset-s1.csv,TRUE,2014,IMPD,JamesBayRoad_North,Q26_N,Arseneault,-77.4405,53.3116,1787,2007,1922,1922,3,PCMA,200,Heon_2014_PNAS
Arse_27,JBR_N_27.fhx,carbb001-pnas2014-09316dataset-s1.csv,TRUE,2014,IMPD,JamesBayRoad_North,Q27_N,Arseneault,-77.431,53.29184,1818,2008,1922,1989,6,PCMA,200,Heon_2014_PNAS
Arse_28,JBR_N_28.fhx,carbb001-pnas2014-09316dataset-s1.csv,TRUE,2014,IMPD,JamesBayRoad_North,Q28_N,Arseneault,-77.4185,53.26757,1808,2006,1922,1989,11,"PIBN, PCMA",200,Heon_2014_PNAS
Arse_29,JBR_N_29.fhx,carbb001-pnas2014-09316dataset-s1.csv,TRUE,2014,IMPD,JamesBayRoad_North,Q29_N,Arseneault,-77.4143,53.25456,1698,2007,1756,1989,20,"PIBN, PCMA, LALA",200,Heon_2014_PNAS
Arse_3,JBR_N_3.fhx,carbb001-pnas2014-09316dataset-s1.csv,TRUE,2014,IMPD,JamesBayRoad_North,Q3_N,Arseneault,-77.732,53.67029,1740,2007,1792,1963,17,"PIBN, PCMA",200,Heon_2014_PNAS
Arse_30,JBR_N_30.fhx,carbb001-pnas2014-09316dataset-s1.csv,TRUE,2014,IMPD,JamesBayRoad_North,Q30_N,Arseneault,-77.4244,53.22578,1794,2007,1941,1989,9,"PIBN, PCMA",200,Heon_2014_PNAS
Arse_31,JBR_N_31.fhx,carbb001-pnas2014-09316dataset-s1.csv,TRUE,2014,IMPD,JamesBayRoad_North,Q31_N,Arseneault,-77.4349,53.21106,1779,2007,1938,1991,8,"PIBN, PCMA, LALA",200,Heon_2014_PNAS
Arse_32,JBR_N_32.fhx,carbb001-pnas2014-09316dataset-s1.csv,TRUE,2014,IMPD,JamesBayRoad_North,Q32_N,Arseneault,-77.4538,53.19241,1694,1988,1772,1941,11,PIBN,200,Heon_2014_PNAS
Arse_33,JBR_N_33.fhx,carbb001-pnas2014-09316dataset-s1.csv,TRUE,2014,IMPD,JamesBayRoad_North,Q33_N,Arseneault,-77.465,53.17722,1816,2007,1882,1989,10,PIBN,200,Heon_2014_PNAS
Arse_34,JBR_N_34.fhx,carbb001-pnas2014-09316dataset-s1.csv,TRUE,2014,IMPD,JamesBayRoad_North,Q34_N,Arseneault,-77.4651,53.16319,1783,1989,1826,1941,14,PIBN,200,Heon_2014_PNAS
Arse_35,JBR_N_35.fhx,carbb001-pnas2014-09316dataset-s1.csv,TRUE,2014,IMPD,JamesBayRoad_North,Q35_N,Arseneault,-77.4799,53.14243,1751,2007,1826,1989,15,"PIBN, PCMA",200,Heon_2014_PNAS
Arse_36,JBR_N_36.fhx,carbb001-pnas2014-09316dataset-s1.csv,TRUE,2014,IMPD,JamesBayRoad_North,Q36_N,Arseneault,-77.4903,53.13363,1830,1988,1941,1941,6,PIBN,200,Heon_2014_PNAS
Arse_37,JBR_N_37.fhx,carbb001-pnas2014-09316dataset-s1.csv,TRUE,2014,IMPD,JamesBayRoad_North,Q37_N,Arseneault,-77.4878,53.11599,1624,2005,1792,1989,13,PIBN,200,Heon_2014_PNAS
Arse_38,JBR_N_38.fhx,carbb001-pnas2014-09316dataset-s1.csv,TRUE,2014,IMPD,JamesBayRoad_North,Q38_N,Arseneault,-77.465,53.10558,1734,2007,1792,1989,11,"PIBN, PCMA",200,Heon_2014_PNAS
Arse_39,JBR_N_39.fhx,carbb001-pnas2014-09316dataset-s1.csv,TRUE,2014,IMPD,JamesBayRoad_North,Q39_N,Arseneault,-77.4368,53.09395,1733,2006,1792,1958,79,"PIBN, PCMA",200,Heon_2014_PNAS
Arse_4,JBR_N_4.fhx,carbb001-pnas2014-09316dataset-s1.csv,TRUE,2014,IMPD,JamesBayRoad_North,Q4_N,Arseneault,-77.7147,53.65109,1736,2005,1791,1941,6,PIBN,200,Heon_2014_PNAS
Arse_40,JBR_N_40.fhx,carbb001-pnas2014-09316dataset-s1.csv,TRUE,2014,IMPD,JamesBayRoad_North,Q40_N,Arseneault,-77.4208,53.08502,1796,2006,1826,1989,14,PIBN,200,Heon_2014_PNAS
Arse_41,JBR_N_41.fhx,carbb001-pnas2014-09316dataset-s1.csv,TRUE,2014,IMPD,JamesBayRoad_North,Q41_N,Arseneault,-77.4054,53.07239,1796,2007,1836,1989,24,PIBN,200,Heon_2014_PNAS
Arse_42,JBR_N_42.fhx,carbb001-pnas2014-09316dataset-s1.csv,TRUE,2014,IMPD,JamesBayRoad_North,Q42_N,Arseneault,-77.3968,53.05527,1754,2007,1791,1991,26,"PIBN, PCMA",200,Heon_2014_PNAS
Arse_43,JBR_N_43.fhx,carbb001-pnas2014-09316dataset-s1.csv,TRUE,2014,IMPD,JamesBayRoad_North,Q43_N,Arseneault,-77.3935,53.03689,1758,2007,1894,1972,10,"PIBN, PCMA",200,Heon_2014_PNAS
Arse_44,JBR_N_44.fhx,carbb001-pnas2014-09316dataset-s1.csv,TRUE,2014,IMPD,JamesBayRoad_North,Q44_N,Arseneault,-77.3678,53.01972,1766,2007,1810,1989,17,PIBN,200,Heon_2014_PNAS
Arse_45,JBR_N_45.fhx,carbb001-pnas2014-09316dataset-s1.csv,TRUE,2014,IMPD,JamesBayRoad_North,Q45_N,Arseneault,-77.3501,53.00815,1664,2005,1725,1989,14,PIBN,200,Heon_2014_PNAS
Arse_46,JBR_N_46.fhx,carbb001-pnas2014-09316dataset-s1.csv,TRUE,2014,IMPD,JamesBayRoad_North,Q46_N,Arseneault,-77.33,52.99001,1668,2007,1777,1989,21,PIBN,200,Heon_2014_PNAS
Arse_47,JBR_N_47.fhx,carbb001-pnas2014-09316dataset-s1.csv,TRUE,2014,IMPD,JamesBayRoad_North,Q47_N,Arseneault,-77.3207,52.98406,1661,2005,1725,1989,13,PIBN,200,Heon_2014_PNAS
Arse_48,JBR_N_48.fhx,carbb001-pnas2014-09316dataset-s1.csv,TRUE,2014,IMPD,JamesBayRoad_North,Q48_N,Arseneault,-77.3001,52.95974,1750,2006,1766,1989,9,PIBN,200,Heon_2014_PNAS
Arse_49,JBR_N_49.fhx,carbb001-pnas2014-09316dataset-s1.csv,TRUE,2014,IMPD,JamesBayRoad_North,Q49_N,Arseneault,-77.2874,52.94433,1713,2005,1922,1990,13,"PIBN, PCMA",200,Heon_2014_PNAS
Arse_5,JBR_N_5.fhx,carbb001-pnas2014-09316dataset-s1.csv,TRUE,2014,IMPD,JamesBayRoad_North,Q5_N,Arseneault,-77.7098,53.63197,1735,2005,1939,1978,6,PIBN,200,Heon_2014_PNAS
Arse_50,JBR_N_50.fhx,carbb001-pnas2014-09316dataset-s1.csv,TRUE,2014,IMPD,JamesBayRoad_North,Q50_N,Arseneault,-77.2731,52.92405,1793,2005,1872,1989,11,PIBN,200,Heon_2014_PNAS
Arse_51,JBR_N_51.fhx,carbb001-pnas2014-09316dataset-s1.csv,TRUE,2014,IMPD,JamesBayRoad_North,Q51_N,Arseneault,-77.2673,52.90968,1712,2007,1799,1989,38,"PIBN, PCMA",200,Heon_2014_PNAS
Arse_52,JBR_N_52.fhx,carbb001-pnas2014-09316dataset-s1.csv,TRUE,2014,IMPD,JamesBayRoad_North,Q52_N,Arseneault,-77.2627,52.88882,1674,2007,1726,1989,16,"PIBN, PCMA",200,Heon_2014_PNAS
Arse_53,JBR_N_53.fhx,carbb001-pnas2014-09316dataset-s1.csv,TRUE,2014,IMPD,JamesBayRoad_North,Q53_N,Arseneault,-77.2764,52.87313,1802,2007,1846,1976,10,"PIBN, PCMA",200,Heon_2014_PNAS
Arse_54,JBR_N_54.fhx,carbb001-pnas2014-09316dataset-s1.csv,TRUE,2014,IMPD,JamesBayRoad_North,Q54_N,Arseneault,-77.2859,52.84795,1803,2007,1854,1990,20,PIBN,200,Heon_2014_PNAS
Arse_55,JBR_N_55.fhx,carbb001-pnas2014-09316dataset-s1.csv,TRUE,2014,IMPD,JamesBayRoad_North,Q55_N,Arseneault,-77.2883,52.8403,1802,2007,1854,1989,21,PIBN,200,Heon_2014_PNAS
Arse_56,JBR_N_56.fhx,carbb001-pnas2014-09316dataset-s1.csv,TRUE,2014,IMPD,JamesBayRoad_North,Q56_N,Arseneault,-77.297,52.81786,1755,2007,1922,1972,5,"PIBN, PCMA",200,Heon_2014_PNAS
Arse_57,JBR_N_57.fhx,carbb001-pnas2014-09316dataset-s1.csv,TRUE,2014,IMPD,JamesBayRoad_North,Q57_N,Arseneault,-77.3065,52.80837,1723,2007,1922,1990,7,"PIBN, PCMA",200,Heon_2014_PNAS
Arse_58,JBR_N_58.fhx,carbb001-pnas2014-09316dataset-s1.csv,TRUE,2014,IMPD,JamesBayRoad_North,Q58_N,Arseneault,-77.329,52.79521,1764,2007,1795,1989,7,"PIBN, PCMA, LALA",200,Heon_2014_PNAS
Arse_59,JBR_N_59.fhx,carbb001-pnas2014-09316dataset-s1.csv,TRUE,2014,IMPD,JamesBayRoad_North,Q59_N,Arseneault,-77.348,52.789,1810,2007,1854,1989,7,PIBN,200,Heon_2014_PNAS
Arse_6,JBR_N_6.fhx,carbb001-pnas2014-09316dataset-s1.csv,TRUE,2014,IMPD,JamesBayRoad_North,Q6_N,Arseneault,-77.6994,53.61715,1744,2005,1882,1939,7,PIBN,200,Heon_2014_PNAS
